sample_name,Durusdinium,Cladocopium,Breviolum,Symbiodinium
E1,30938,0,0,0
E10,40991,0,0,0
E11,35119,0,0,0
E12,52410,8,0,0
E13,40009,15,0,0
E14,28495,8,0,0
E15,47339,7,0,0
E16,31647,0,0,0
E17,41211,0,0,0
E18,46378,0,0,0
E19,53397,0,0,0
E2,46754,0,0,0
E20,41631,0,0,0
E21,55749,0,0,0
E22,38275,0,0,0
E23,35843,0,0,0
E24,55227,0,0,0
E25,47417,0,0,0
E26,49442,0,0,0
E27,38979,0,0,0
E28,20887,0,0,0
E29,52510,0,0,0
E3,49486,0,0,0
E30,55379,0,0,0
E31,57279,0,0,0
E32,56802,0,0,0
E33,63711,0,4,0
E34,48333,0,0,0
E35,28579,0,4,0
E36,54060,0,0,0
E37,43605,0,0,0
E38,57348,0,0,0
E39,53425,0,0,0
E4,28059,0,0,0
E40,43381,0,5,0
E41,61230,0,0,0
E42,54368,0,0,0
E43,58636,0,0,0
E44,52871,0,0,0
E45,61260,0,0,0
E46,51600,0,4,0
E47,35774,0,0,0
E48,52855,0,0,0
E5,38183,0,0,0
E6,45506,0,0,0
E7,42475,19,0,0
E8,36648,0,0,0
E9,45144,0,0,0
F1,41487,0,0,0
F10,45242,0,0,0
F11,23447,7,0,0
F12,50311,6,0,0
F13,24945,4,0,0
F14,20217,56,0,0
F15,41226,1727,0,0
F16,29410,11,0,0
F17,45702,5,0,0
F18,36821,5,0,0
F19,41950,5072,0,0
F2,43507,1666,0,0
F20,47205,0,0,0
F21,52277,45,0,0
F22,28371,3566,0,0
F23,31749,0,0,0
F24,38309,286,0,0
F25,42819,3613,0,0
F26,52882,227,0,0
F27,39407,3007,0,0
F28,39492,48,0,0
F29,36074,23,0,0
F3,43721,726,0,0
F30,51197,780,0,0
F31,54715,0,0,0
F32,48140,7,0,0
F33,48586,1207,0,0
F34,34626,0,0,0
F35,33953,322,0,0
F36,43560,58,0,0
F37,39398,213,0,0
F38,49209,190,0,0
F39,44192,396,0,0
F4,3777,0,0,0
F40,38581,371,0,0
F41,42669,5,0,0
F42,44875,0,0,0
F43,44098,0,0,0
F44,39495,9,0,0
F45,46835,11,0,0
F46,17304,8,0,0
F47,33096,0,0,0
F48,38666,47,0,0
F5,44497,1216,0,0
F6,35165,1292,0,0
F7,46805,60,0,0
F8,56703,18,0,0
F9,53802,74,0,0
G1,60642,6,0,4
G10,51012,6,0,0
G11,58315,33,0,0
G12,38989,4,0,0
G13,66368,25,0,0
G14,60593,75,0,0
G15,52540,1061,0,0
G16,47091,32,0,0
G17,42818,9,0,0
G18,63812,212,0,0
G19,45737,0,0,0
G2,62726,6,0,0
G20,71116,0,0,0
G21,45276,196,0,0
G22,47145,150,0,0
G23,55110,339,0,0
G24,39095,29,0,0
G25,52940,13,0,0
G26,49043,14,0,0
G27,55395,0,0,0
G28,59912,15,0,0
G29,60097,18,0,0
G3,66336,406,0,0
G30,67662,0,0,0
G31,66155,625,0,0
G32,68742,511,0,0
G33,34016,7496,0,0
G34,55481,87,0,0
G35,54920,17,0,0
G36,40150,0,0,0
G37,62794,467,0,0
G38,57781,11,0,0
G39,43251,0,0,0
G4,63419,8,0,0
G40,57018,4,0,0
G41,43200,0,0,0
G42,57539,0,0,0
G43,56135,0,0,0
G44,53979,15,0,0
G45,57441,304,0,0
G46,46087,12,0,0
G47,25053,0,0,0
G48,63313,79,0,0
G5,30657,0,0,0
G6,71302,452,0,0
G7,65270,10,0,0
G8,75284,728,0,0
G9,49891,71,0,0
H1,56884,1152,0,0
H10,49091,7550,0,0
H11,44843,5168,0,0
H12,41606,7276,0,0
H13,63340,9535,0,0
H14,59867,1022,0,0
H15,44391,713,0,0
H16,56109,3992,0,0
H17,40313,3378,0,0
H18,64612,577,0,0
H19,63849,1420,0,0
